Date(UTC),Pair,Side,Price,Executed,Amount,Fee
2021-06-26 08:05:33,FTMUSDT,BUY,0.1975800000,100.0000000000FTM,19.75800000USDT,0.0000552200BNB
2021-06-22 17:20:18,BNBUSDT,BUY,262.9000000000,0.0500000000BNB,13.14500000USDT,0.0000375000BNB
2021-06-22 14:18:48,FTMUSDT,BUY,0.1918300000,100.0000000000FTM,19.18300000USDT,0.1000000000FTM
2021-06-22 14:10:34,EURUSDT,SELL,1.1901000000,100.0000000000EUR,119.01000000USDT,0.1190100000USDT
2021-06-22 13:47:20,ETHUSDT,BUY,"1,735.0000000000",0.0135400000ETH,23.49190000USDT,0.0000135400ETH
2021-06-22 12:25:26,EOSUSDT,BUY,3.2000000000,5.0000000000EOS,16.00000000USDT,0.0050000000EOS
2021-06-21 11:28:43,ETHUSDT,BUY,"1,900.0000000000",0.0210500000ETH,39.99500000USDT,0.0000210500ETH
2021-06-21 07:55:59,IOSTUSDT,BUY,0.0209660000,500.0000000000IOST,10.48300000USDT,0.5000000000IOST
2021-06-21 07:55:13,CTSIUSDT,BUY,0.4533900000,25.0000000000CTSI,11.33475000USDT,0.0250000000CTSI
2021-06-20 12:15:59,NEOUSDT,BUY,41.0000000000,0.2500000000NEO,10.25000000USDT,0.0002500000NEO
2021-06-15 14:34:43,CTSIUSDT,BUY,0.5830000000,30.0000000000CTSI,17.49000000USDT,0.0300000000CTSI
2021-06-09 12:08:03,TLMUSDT,BUY,0.1557000000,70.0000000000TLM,10.89900000USDT,0.0700000000TLM
2021-06-07 22:04:20,IOTXUSDT,BUY,0.0242540000,450.0000000000IOTX,10.91430000USDT,0.4500000000IOTX
2021-06-07 22:00:10,BURGERUSDT,BUY,5.3700000000,2.0000000000BURGER,10.74000000USDT,0.0020000000BURGER
2021-06-07 21:15:05,BURGERUSDT,BUY,5.3600000000,1.9000000000BURGER,10.18400000USDT,0.0019000000BURGER
2021-05-29 22:51:54,IOTXUSDT,BUY,0.0259930000,400.0000000000IOTX,10.39720000USDT,0.4000000000IOTX
2021-05-29 22:51:38,FTMUSDT,BUY,0.2720300000,37.1000000000FTM,10.09231300USDT,0.0371000000FTM
2021-05-28 16:30:59,SHIBUSDT,BUY,0.0000078500,"1,401,273.0000000000SHIB",10.99999305USDT,"1,401.2700000000SHIB"
2021-05-28 15:42:02,EURUSDT,SELL,1.2166000000,150.0000000000EUR,182.49000000USDT,0.1824900000USDT
2021-05-23 16:18:09,OMGUSDT,BUY,3.6500000000,5.4700000000OMG,19.96550000USDT,0.0054700000OMG
2021-05-23 15:35:14,BURGERUSDT,BUY,4.0500000000,4.9000000000BURGER,19.84500000USDT,0.0049000000BURGER
2021-05-23 12:43:25,ETHUSDT,BUY,"1,940.0000000000",0.0103000000ETH,19.98200000USDT,0.0000103000ETH
2021-05-23 12:27:54,OMGUSDT,BUY,4.2000000000,4.7600000000OMG,19.99200000USDT,0.0047600000OMG
